Sentiment,Processed_Text
negative,"tesla motors recalls 2,700 model x suvs https //t.co/bfws3dbm0u tsla"
neutral,interim report first quarter published may 8 2009
negative,"agricultural newspaper maaseudun tulevaisuus 318,000 readers representing decrease 6"
neutral,finnish scanfil systems supplier contract manufacturer communications sector electronics industry reports net sales totalled eur 94.7 mn first half 2010 eur 99.5 mn first half 2009
neutral,group 's net sales 2007 eur683 .6
neutral,unit 's clients mainly field specialist convenience goods well textile shoe furniture businesses
neutral,mr. mcdonald started evening set featuring hits solo career doobie brothers years selection r b cover songs met mixed results
neutral,sarantel based wellingborough uk designs high-performance antennas portable wireless devices
positive,philippines san miguel says partner kirin bids sabmiller 's ...
negative,high court finland fined seven local asphalt companies lion 117 million operating cartel
neutral,net profit fell almost half +é 5.5 million +é 9.4 million end 2007
neutral,agn pypl pressure along market however bullish options trades morning https //t.co/9xg5w8nont
neutral,upm stock fell 3 percent euro 12.49 17.24 early afternoon trading helsinki
neutral,helsinki afx cramo said agreed sell cramo nederland bv cnl dutch machinery equipment rental unit jaston groep undisclosed sum
positive,stock rose second day wednesday bringing two-day rise gbx12 .0 2.0
neutral,"share capital alma media corporation business id 1944757-4 eur 44,767,513.80 divided 74,612,523 shares"
neutral,"port facilities throughput 250,000 teus 7.5 mln tons general cargo"
neutral,investments disclosed
positive,operating profit excluding non-recurring items increased 27 eur 81.9 mn eur 64.4 mn corresponding period 2008
neutral,end march 2009 company 's loans amounted eur 10.113 mn
neutral,value order eur 30mn
neutral,market making accordance agreement begin september 24 2009
positive,fb popping hod
positive,`` pleased proud performance last year `` chief executive juha rantanen said statement
neutral,order includes steel frame load-bearing roof structures partition wall elements rautaruukki said expects complete installation early may next year
neutral,shares subscribed stock options registered trade register 20 january 2011 date new shares establish shareholder rights
neutral,identity buyer yet known
positive,finnish bank +àland 's consolidated net operating profit increased eur 4.8 mn first quarter 2005 eur 6.4 mn first quarter 2006
positive,rt robbielolz nflx close looking good bulls hold positions see close keep buying
positive,contract cramo sverige subcontractor brinkab ab provide scaffolding installations lkab 's new pellets plant kiruna northern sweden
neutral,copying republication redistribution afx news content inculding framing similar means expressly prohibited without prior written consent afx news
neutral,makes wide range mobile devices services software enable people experience music navigation video television imaging games business mobility
positive,easyjet expects resilient demand withstand security fears
neutral,rt jan arna n't think buyout rumor strong enough driving yet ... may fly like aapl ... // fly high
negative,slv -4.44 18 awful 42.50
neutral,secondary antenna also used reception high power signal radar calibrate transmission channels radar ``
neutral,broker started upm-kymmene stora enso sappi equal-weight recommendations holmen norske skog underweight ratings
neutral,operating profit margin 8.3 compared 11.8 year earlier
neutral,markets almost completely controlled three banks nordea op bank group sampo
negative,net profit fell almost half +é 5.5 million +é 9.4 million end 2007
neutral,eq bank forecasts olvi 's net sales eur 67mn second quarter 2009 operating profit eur 6.4 mn
positive,"h+ñkan dahlstr+âm head mobility services teliasonera forecast mobile data volume teliasonera network sweden rise eight-fold 200,000 tb 2014"
neutral,belarus oao lidskoe pivo brewery based grodno region reported 1.1 decrease output 1.045 million decaliters january-march 2010 representative administration company told
neutral,bridge built south existing bridge spanning strait
neutral,deal significant effect acquiring company 's equity ratio
neutral,risk exposure non-life insurance moving 12-month expenses function non-life insurance excluding expenses investment management expenses services rendered non-life insurance investment portfolio allocation
positive,company also featured ethibel pioneer investment register included innovest 's global 100 list world 's sustainable corporations
neutral,value multi-year agreement eur 2mn year
negative,glencore cuts 2015 budget plans divest lonmin
positive,cash flow business operations totalled eur 0.4 mn compared negative eur 15.5 mn first half 2008
positive,compared ftse 100 index rose 28.3 points 0.5 day relative price change 2.3
negative,moment valio worried ban continues long may become quite problem
positive,zurich insurance considering offer uk rival rsa insurance
neutral,buying eukor car carriers 50 percent stake grimaldi group sole owner swedish roll-on roll-off port wallhamn
neutral,destia oy finnish infrastructure construction service company building maintaining designing traffic routes industrial traffic environments also complete living environments
neutral,alexandria va. march 28 -- pertti salmi hanna vuolteenaho oulu finland sami viitasaari ii finland developed ornamental design handset u.s. patent trademark office announced
positive,also strengthen ruukki 's offshore business
neutral,handset maker disclose financial details
neutral,plant expected start production first half 2007
positive,restructuring creates efficient organization increased operational focus stable profitability leads efficient production said bo annvik head specialty stainless
